"";"NDepto";"NMpio";"num_puestos";"num_mesas";"grupo"
"1";"ANTIOQUIA";"AMALFI";1;48;"G1"
"2";"ANTIOQUIA";"ANZA";2;16;"G1"
"3";"ANTIOQUIA";"ARBOLETES";8;66;"G1"
"4";"ANTIOQUIA";"BRICEÑO";1;13;"G1"
"5";"ANTIOQUIA";"CAMPAMENTO";1;17;"G1"
"6";"ANTIOQUIA";"CAÑASGORDAS";3;37;"G1"
"7";"ANTIOQUIA";"CAUCASIA";17;195;"G1"
"8";"ANTIOQUIA";"COCORNA";2;33;"G1"
"9";"ANTIOQUIA";"ENVIGADO";19;649;"G1"
"10";"ANTIOQUIA";"GUARNE";8;95;"G1"
"11";"ANTIOQUIA";"JERICO";1;31;"G1"
"12";"ANTIOQUIA";"MACEO";3;22;"G1"
"13";"ANTIOQUIA";"NECHI";4;51;"G1"
"14";"ANTIOQUIA";"PEÑOL";1;46;"G1"
"15";"ANTIOQUIA";"PUERTO NARE-LA MAGDALENA";3;33;"G1"
"16";"ANTIOQUIA";"SALGAR";1;32;"G1"
"17";"ANTIOQUIA";"SAN JOSE DE LA MONTAÑA";1;10;"G1"
"18";"ANTIOQUIA";"SAN PEDRO";3;56;"G1"
"19";"ANTIOQUIA";"SAN ROQUE";4;43;"G1"
"20";"ANTIOQUIA";"VENECIA";2;28;"G1"
"21";"ANTIOQUIA";"YARUMAL";9;82;"G1"
"22";"ARAUCA";"PUERTO RONDON";1;11;"G1"
"23";"ATLANTICO";"CANDELARIA";3;36;"G1"
"24";"BOLIVAR";"MONTECRISTO";2;15;"G1"
"25";"BOLIVAR";"NOROSI";1;6;"G1"
"26";"BOLIVAR";"SAN PABLO";1;43;"G1"
"27";"BOLIVAR";"SANTA ROSA DEL SUR";3;49;"G1"
"28";"BOLIVAR";"TALAIGUA NUEVO";3;20;"G1"
"29";"BOYACA";"CALDAS";2;10;"G1"
"30";"BOYACA";"CAMPOHERMOSO";2;8;"G1"
"31";"BOYACA";"CHITA";2;17;"G1"
"32";"BOYACA";"EL ESPINO";1;6;"G1"
"33";"BOYACA";"GACHANTIVA";1;9;"G1"
"34";"BOYACA";"LA VICTORIA";1;5;"G1"
"35";"BOYACA";"MUZO";2;22;"G1"
"36";"BOYACA";"PAEZ";1;6;"G1"
"37";"BOYACA";"SAN EDUARDO";1;5;"G1"
"38";"BOYACA";"SANTA MARIA";1;9;"G1"
"39";"BOYACA";"SANTA SOFIA";1;9;"G1"
"40";"BOYACA";"SANTANA";1;20;"G1"
"41";"BOYACA";"SOTAQUIRA";1;15;"G1"
"42";"BOYACA";"SUTAMARCHAN";1;16;"G1"
"43";"BOYACA";"TENZA";1;10;"G1"
"44";"BOYACA";"VENTAQUEMADA";1;31;"G1"
"45";"CALDAS";"MARQUETALIA";1;31;"G1"
"46";"CALDAS";"PACORA";4;34;"G1"
"47";"CALDAS";"PALESTINA";4;45;"G1"
"48";"CALDAS";"SAN JOSE";1;14;"G1"
"49";"CALDAS";"VITERBO";1;36;"G1"
"50";"CAQUETA";"MILAN";2;17;"G1"
"51";"CAQUETA";"MORELIA";1;11;"G1"
"52";"CASANARE";"TAURAMENA";2;44;"G1"
"53";"CASANARE";"VILLANUEVA";1;56;"G1"
"54";"CAUCA";"ARGELIA";7;51;"G1"
"55";"CAUCA";"BALBOA";5;42;"G1"
"56";"CAUCA";"CALOTO";4;41;"G1"
"57";"CAUCA";"CORINTO";5;49;"G1"
"58";"CAUCA";"LOPEZ (MICAY)";3;14;"G1"
"59";"CAUCA";"MIRANDA";4;54;"G1"
"60";"CAUCA";"PADILLA";2;15;"G1"
"61";"CAUCA";"PIAMONTE";2;12;"G1"
"62";"CAUCA";"PIENDAMO";5;60;"G1"
"63";"CAUCA";"TIMBIO";6;65;"G1"
"64";"CAUCA";"TOTORO";3;24;"G1"
"65";"CESAR";"CHIRIGUANA";5;63;"G1"
"66";"CHOCO";"ATRATO (YUTO)";4;20;"G1"
"67";"CHOCO";"UNION PANAMERICANA (LAS ANIMAS";2;12;"G1"
"68";"CONSULADOS";"AUSTRALIA";2;8;"G1"
"69";"CONSULADOS";"BRASIL";1;3;"G1"
"70";"CORDOBA";"AYAPEL";9;87;"G1"
"71";"CORDOBA";"CANALETE";6;40;"G1"
