"";"NDepto";"NMpio";"PP";"ZZ";"Npuesto";"num_mesas";"num_votos"
"1";"AMAZONAS";"EL ENCANTO";"00";0;"CORREGIMIENTO DEPARTAMENTAL";3;381
"2";"AMAZONAS";"LA CHORRERA";"00";0;"CORREGIMIENTO DEPARTAMENTAL";3;652
"3";"AMAZONAS";"LA PEDRERA";"00";0;"CORREGIMIENTO DEPARTAMENTAL";3;463
"4";"AMAZONAS";"LA VICTORIA";"00";0;"CORREGIMIENTO DEPARTAMENTAL";1;29
"5";"AMAZONAS";"LETICIA";"01";1;"IE INEM JOSE EUSTACIO RIVERA";24;3946
"6";"AMAZONAS";"LETICIA";"01";2;"IE MARCELIANO E. CAYNES";35;6719
"7";"AMAZONAS";"LETICIA";"01";98;"CARCEL";1;56
"8";"AMAZONAS";"LETICIA";"02";1;"IE JORGE ELIECER GAITAN";15;2426
"9";"AMAZONAS";"LETICIA";"02";2;"CTRO DE INTEGRACION CIUDADANA";23;4028
"10";"AMAZONAS";"LETICIA";"25";99;"INSP. DE POL. EL CALDERON";1;12
"11";"AMAZONAS";"LETICIA";"70";99;"INSP. DE POL. SANTA SOFIA";6;1153
"12";"AMAZONAS";"MIRITI PARANA";"00";0;"PUESTO CABECERA MUNICIPAL";2;164
"13";"AMAZONAS";"MIRITI PARANA";"70";99;"SANTA ISABEL";1;11
"14";"AMAZONAS";"PUERTO ALEGRIA";"00";0;"CORREGIMIENTO DEPARTAMENTAL";1;89
"15";"AMAZONAS";"PUERTO ARICA";"00";0;"CORREGIMIENTO DEPARTAMENTAL";2;209
"16";"AMAZONAS";"PUERTO NARIÑO";"00";0;"PUESTO CABECERA MUNICIPAL";12;2648
"17";"AMAZONAS";"PUERTO NARIÑO";"20";99;"ATACUARI";1;226
"18";"AMAZONAS";"PUERTO SANTANDER";"00";0;"CORREGIMIENTO DEPARTAMENTAL";2;257
"19";"AMAZONAS";"TARAPACA";"00";0;"CORREGIMIENTO DEPARTAMENTAL";4;638
"20";"ANTIOQUIA";"ABEJORRAL";"00";0;"PUESTO CABECERA MUNICIPAL";37;3745
"21";"ANTIOQUIA";"ABEJORRAL";"01";98;"CARCEL MUNICIPAL";1;7
